date,sales
01-Jan-18,477
02-Jan-18,365
03-Jan-18,442
04-Jan-18,490
05-Jan-18,396
06-Jan-18,385
07-Jan-18,492
08-Jan-18,142
08-Jan-18,331
09-Jan-18,249
10-Jan-18,258
11-Jan-18,358
12-Jan-18,230
13-Jan-18,103
14-Jan-18,222
15-Jan-18,262
16-Jan-18,245
17-Jan-18,204
18-Jan-18,263
19-Jan-18,251
20-Jan-18,131
21-Jan-18,231
22-Jan-18,163
23-Jan-18,250
24-Jan-18,215
25-Jan-18,200
26-Jan-18,133
27-Jan-18,124
28-Jan-18,265
29-Jan-18,265
30-Jan-18,456
31-Jan-18,437
01-Feb-18,209
02-Feb-18,206
03-Feb-18,104
04-Feb-18,203
05-Feb-18,232
06-Feb-18,379
07-Feb-18,300
08-Feb-18,262
09-Feb-18,538
10-Feb-18,110
11-Feb-18,900
12-Feb-18,345
13-Feb-18,473
14-Feb-18,375
15-Feb-18,349
16-Feb-18,335
19-Feb-18,64
20-Feb-18,213
21-Feb-18,211
22-Feb-18,313
23-Feb-18,577
24-Feb-18,133
25-Feb-18,566
26-Feb-18,717
27-Feb-18,550
28-Feb-18,907
01-Mar-18,512
02-Mar-18,465
03-Mar-18,267
04-Mar-18,537
05-Mar-18,357
06-Mar-18,585
07-Mar-18,465
08-Mar-18,458
09-Mar-18,860
10-Mar-18,142
11-Mar-18,496
12-Mar-18,339
13-Mar-18,557
14-Mar-18,530
15-Mar-18,388
16-Mar-18,471
17-Mar-18,116
18-Mar-18,419
19-Mar-18,359
20-Mar-18,364
21-Mar-18,165
22-Mar-18,226
23-Mar-18,417
24-Mar-18,137
25-Mar-18,388
26-Mar-18,433
27-Mar-18,470
28-Mar-18,599
29-Mar-18,491
30-Mar-18,647
31-Mar-18,483
01-Apr-18,145
02-Apr-18,301
03-Apr-18,334
04-Apr-18,264
05-Apr-18,267
06-Apr-18,313
07-Apr-18,85
08-Apr-18,292
09-Apr-18,237
10-Apr-18,375
11-Apr-18,482
12-Apr-18,686
13-Apr-18,290
14-Apr-18,127
15-Apr-18,165
16-Apr-18,301
17-Apr-18,341
18-Apr-18,284
19-Apr-18,268
20-Apr-18,269
21-Apr-18,143
22-Apr-18,338
23-Apr-18,316
24-Apr-18,385
25-Apr-18,365
26-Apr-18,241
27-Apr-18,250
28-Apr-18,138
29-Apr-18,425
30-Apr-18,4000
01-May-18,202
02-May-18,260
03-May-18,280
04-May-18,258
05-May-18,95
